6,9,5
0
72939290,3812087,5636780,23945837,5055054
29418849,18984434,5817751,32449984,6013232
13781619,2905658,2312525,2204425,10295498
88084394,41091581,44143381,36636150,23907959
107852074,11729897,4383172,4432377,13063867
95271,97938,83065,87344,84964
91038,87259,87182,83068,85845
15867587,12822283,14047157,26109519,12209038
10455374,2839628,3293857,3247913,2884426
1
1008694,5938658,655779,723099,282898
1019335,997217,514904,573050,1039704
876549,359253,1321983,767344,375011
7124199,9987550,7875793,15010075,14076211
1905635,1370611,1357270,1507531,973769
84169,655170,116831,717897,108232
1437078,195230,944637,197751,917902
10831444,6012015,2837096,2491457,4498099
657030,492212,393229,536552,395814
2
158259,150361,134036,145034,133038
315747,453889,320791,292232,301500
197111,236650,264656,200344,767291
1929262,1823391,2123341,4612352,2417351
528869,482296,516836,509385,497645
79227,67624,47522,45343,42337
43493,42419,42079,43949,41885
1915807,3243196,1924107,1883581,2011190
844259,394487,404585,405323,632974
3
311554,250693,337710,242342,205000
540210,432320,382646,361410,356157
248548,226404,204040,190680,191073
2267851,2764661,2222175,2300900,1708430
292944,280127,1627263,1570895,385829
66500,55460,68668,54571,59973
57170,42552,46781,47643,42034
2365430,1930135,2328909,3531284,1987594
415467,384493,411167,388173,408110
4
164984,135025,133705,142527,134843
320728,303606,297048,808528,287140
186760,174610,172853,214418,652039
1813731,2167290,2910561,3955816,3399778
548693,463472,307551,467774,521944
84954,79563,187256,77345,77541
79512,79313,78618,66417,62255
3222440,4350099,2229967,1889185,3896094
803726,745938,668215,711397,714273
5
335654,241128,241737,276817,237840
526166,488279,541284,507460,608048
318967,389158,377085,306656,294686
3170216,4544593,3189854,2949317,3095577
519583,549171,524786,559379,1060470
130341,75354,77965,107942,78182
97452,93214,78927,134401,92866
3534912,2272957,1888531,3003754,2583985
541837,643360,633648,636999,624323
